trade_id,policy,counterfactual_r
0,baseline,2.420108841612632
0,breakeven_after_0_5r,2.420108841612632
0,breakeven_after_1_0r,2.420108841612632
0,exit_at_first_0_5r,0.5
0,exit_at_first_1_0r,1.0
0,trail_0_5r_after_1_0r,1.8417759298802134
0,time_exit_after_4_bars_if_mfe_lt_0_3r,2.420108841612632
0,partial_50pct_at_1r,1.710054420806316
1,baseline,-4.01308600596404
1,breakeven_after_0_5r,0.0
1,breakeven_after_1_0r,0.0
1,exit_at_first_0_5r,0.5
1,exit_at_first_1_0r,1.0
1,trail_0_5r_after_1_0r,1.1656543256198861
1,time_exit_after_4_bars_if_mfe_lt_0_3r,-4.01308600596404
1,partial_50pct_at_1r,-1.5065430029820202
2,baseline,-2.5205992372830193
2,breakeven_after_0_5r,0.0
2,breakeven_after_1_0r,0.0
2,exit_at_first_0_5r,0.5
2,exit_at_first_1_0r,1.0
2,trail_0_5r_after_1_0r,0.9681921352293958
2,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.5205992372830193
2,partial_50pct_at_1r,-0.7602996186415096
3,baseline,0.21152568091455873
3,breakeven_after_0_5r,0.0
3,breakeven_after_1_0r,0.0
3,exit_at_first_0_5r,0.5
3,exit_at_first_1_0r,1.0
3,trail_0_5r_after_1_0r,0.6414876981898416
3,time_exit_after_4_bars_if_mfe_lt_0_3r,0.21152568091455873
3,partial_50pct_at_1r,0.6057628404572794
4,baseline,0.5954139873923537
4,breakeven_after_0_5r,0.0
4,breakeven_after_1_0r,0.0
4,exit_at_first_0_5r,0.5
4,exit_at_first_1_0r,1.0
4,trail_0_5r_after_1_0r,0.549247147605368
4,time_exit_after_4_bars_if_mfe_lt_0_3r,0.5954139873923537
4,partial_50pct_at_1r,0.7977069936961769
5,baseline,-2.7366606227671055
5,breakeven_after_0_5r,0.0
5,breakeven_after_1_0r,0.0
5,exit_at_first_0_5r,0.5
5,exit_at_first_1_0r,1.0
5,trail_0_5r_after_1_0r,0.5817296340935822
5,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.7366606227671055
5,partial_50pct_at_1r,-0.8683303113835528
6,baseline,0.9883816260852935
6,breakeven_after_0_5r,0.0
6,breakeven_after_1_0r,0.0
6,exit_at_first_0_5r,0.5
6,exit_at_first_1_0r,1.0
6,trail_0_5r_after_1_0r,0.7798266803617286
6,time_exit_after_4_bars_if_mfe_lt_0_3r,0.9883816260852935
6,partial_50pct_at_1r,0.9941908130426467
7,baseline,0.21266649223514628
7,breakeven_after_0_5r,0.0
7,breakeven_after_1_0r,0.0
7,exit_at_first_0_5r,0.5
7,exit_at_first_1_0r,1.0
7,trail_0_5r_after_1_0r,0.8522449727660684
7,time_exit_after_4_bars_if_mfe_lt_0_3r,0.21266649223514628
7,partial_50pct_at_1r,0.6063332461175731
8,baseline,4.254043492537447
8,breakeven_after_0_5r,0.0
8,breakeven_after_1_0r,0.0
8,exit_at_first_0_5r,0.5
8,exit_at_first_1_0r,1.0
8,trail_0_5r_after_1_0r,0.5568227289338594
8,time_exit_after_4_bars_if_mfe_lt_0_3r,4.254043492537447
8,partial_50pct_at_1r,2.6270217462687233
9,baseline,0.8913175503576118
9,breakeven_after_0_5r,0.0
9,breakeven_after_1_0r,0.0
9,exit_at_first_0_5r,0.5
9,exit_at_first_1_0r,1.0
9,trail_0_5r_after_1_0r,1.3593923927778782
9,time_exit_after_4_bars_if_mfe_lt_0_3r,0.8913175503576118
9,partial_50pct_at_1r,0.9456587751788059
10,baseline,1.2715962299358503
10,breakeven_after_0_5r,0.0
10,breakeven_after_1_0r,0.0
10,exit_at_first_0_5r,0.5
10,exit_at_first_1_0r,1.0
10,trail_0_5r_after_1_0r,0.6150270415303414
10,time_exit_after_4_bars_if_mfe_lt_0_3r,1.2715962299358503
10,partial_50pct_at_1r,1.1357981149679253
11,baseline,1.439341309401987
11,breakeven_after_0_5r,0.0
11,breakeven_after_1_0r,0.0
11,exit_at_first_0_5r,0.5
11,exit_at_first_1_0r,1.0
11,trail_0_5r_after_1_0r,1.506341759077185
11,time_exit_after_4_bars_if_mfe_lt_0_3r,1.439341309401987
11,partial_50pct_at_1r,1.2196706547009935
12,baseline,3.6717907479310306
12,breakeven_after_0_5r,0.0
12,breakeven_after_1_0r,0.0
12,exit_at_first_0_5r,0.5
12,exit_at_first_1_0r,1.0
12,trail_0_5r_after_1_0r,0.8728900208635308
12,time_exit_after_4_bars_if_mfe_lt_0_3r,3.6717907479310306
12,partial_50pct_at_1r,2.3358953739655153
13,baseline,-8.638127745073625
13,breakeven_after_0_5r,0.0
13,breakeven_after_1_0r,0.0
13,exit_at_first_0_5r,0.5
13,exit_at_first_1_0r,1.0
13,trail_0_5r_after_1_0r,0.7123948418399448
13,time_exit_after_4_bars_if_mfe_lt_0_3r,-8.638127745073625
13,partial_50pct_at_1r,-3.8190638725368125
14,baseline,-2.274596826944233
14,breakeven_after_0_5r,0.0
14,breakeven_after_1_0r,-2.274596826944233
14,exit_at_first_0_5r,0.5
14,exit_at_first_1_0r,-2.274596826944233
14,trail_0_5r_after_1_0r,-2.274596826944233
14,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.274596826944233
14,partial_50pct_at_1r,-2.274596826944233
15,baseline,4.177272459916678
15,breakeven_after_0_5r,0.0
15,breakeven_after_1_0r,0.0
15,exit_at_first_0_5r,0.5
15,exit_at_first_1_0r,1.0
15,trail_0_5r_after_1_0r,0.6855802948758303
15,time_exit_after_4_bars_if_mfe_lt_0_3r,4.177272459916678
15,partial_50pct_at_1r,2.588636229958339
16,baseline,1.4732602703006261
16,breakeven_after_0_5r,0.0
16,breakeven_after_1_0r,0.0
16,exit_at_first_0_5r,0.5
16,exit_at_first_1_0r,1.0
16,trail_0_5r_after_1_0r,0.8542052405028855
16,time_exit_after_4_bars_if_mfe_lt_0_3r,1.4732602703006261
16,partial_50pct_at_1r,1.236630135150313
17,baseline,-0.860090545780179
17,breakeven_after_0_5r,0.0
17,breakeven_after_1_0r,0.0
17,exit_at_first_0_5r,0.5
17,exit_at_first_1_0r,1.0
17,trail_0_5r_after_1_0r,2.6459904855644956
17,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.860090545780179
17,partial_50pct_at_1r,0.06995472710991052
18,baseline,-0.6491183300867377
18,breakeven_after_0_5r,0.0
18,breakeven_after_1_0r,0.0
18,exit_at_first_0_5r,0.5
18,exit_at_first_1_0r,1.0
18,trail_0_5r_after_1_0r,0.6382696425844105
18,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.6491183300867377
18,partial_50pct_at_1r,0.17544083495663115
19,baseline,0.3037083186988812
19,breakeven_after_0_5r,0.0
19,breakeven_after_1_0r,0.0
19,exit_at_first_0_5r,0.5
19,exit_at_first_1_0r,1.0
19,trail_0_5r_after_1_0r,1.4242307891974357
19,time_exit_after_4_bars_if_mfe_lt_0_3r,0.3037083186988812
